country,Jan22,Jan23,Jan24,Jan25,Jan26,Jan27,Jan28,Jan29,Jan30,Jan31,Feb01,Feb02,Feb03,Feb04,Feb05,Feb06,Feb07,Feb08,Feb09,Feb10,Feb11,Feb12,Feb13,Feb14,Feb15,Feb16,Feb17,Feb18,Feb19,Feb20,Feb21,Feb22,Feb23,Feb24,Feb25,Feb26,Feb27,Feb28,Feb29,Mar01,Mar02,Mar03,Mar04,Mar05,Mar06,Mar07,Mar08,Mar09,Mar10,Mar11,Mar12,Mar13,Mar14,Mar15,Mar16,Mar17,Mar18,Mar19,Mar20,Mar21,Mar22,Mar23,Mar24,Mar25,Mar26,Mar27,Mar28,Mar29,Mar30,Mar31,Apr01,Apr02,Apr03,Apr04,Apr05,Apr06,Apr07
us,15,15,15,15,15,15,35,35,35,53,57,60,60,63,68,75,100,124,158,221,319,435,541,704,994,1301,1630,2183,2770,3613,4596,6344,9197,13779,19367,24192,33592,43781,54856,68211,85435,104126,123578,143491,163788,188530,215003,244877,277161,311357,336673,367004,400335
spain,2,2,2,2,2,2,2,2,2,3,9,13,25,33,58,84,120,165,228,282,401,525,674,1231,1695,2277,3146,5232,6391,7988,9942,11826,14769,18077,21571,25496,28768,35136,42058,49515,57786,65719,73235,80110,87956,95923,104118,112065,119199,126168,131646,136675,141942
italy,3,3,3,3,3,4,21,79,157,229,323,470,655,889,1128,1701,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,15113,17660,21157,24747,27980,31506,35713,41035,47021,53578,59138,63927,69176,74386,80589,86498,92472,97689,101739,105792,110574,115242,119827,124632,128948,132547,135586
germany,16,16,16,16,16,16,16,16,16,16,18,26,48,74,79,130,165,203,262,545,670,800,1040,1224,1565,1966,2745,3675,4599,5813,7272,9367,12327,15320,19848,22364,24873,29056,32991,37323,43938,50871,57695,62435,66885,71808,77981,84794,91159,96092,100123,103375,107663
france,12,12,12,12,12,12,12,12,12,12,14,18,38,57,100,130,191,212,285,423,653,949,1209,1412,1784,2281,2876,3661,4499,5423,6633,7730,9134,10995,12612,14459,16018,19856,22304,25233,29155,32964,37575,40174,44550,52128,56989,59105,82165,89953,92839,98010,109069
iran,0,0,0,0,2,5,18,29,43,61,95,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,19644,20610,21638,23049,24811,27017,29406,32332,35408,38309,41495,44605,47593,50468,53183,55743,58226,60500,62589
uk,9,9,9,9,9,9,9,9,13,13,13,13,16,20,23,36,39,51,87,116,164,209,278,321,383,460,590,798,1140,1391,1543,1950,2626,3269,3983,5018,5683,6650,8077,9529,11658,14543,17089,19522,22141,25150,29474,33718,38168,41903,47806,51608,55242
turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,18,47,98,191,359,670,947,1236,1529,1872,2433,3629,5698,7402,9217,10827,13531,15679,18135,20921,23934,27069,30217,34109
belgium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,15,23,50,109,169,200,239,267,314,399,559,689,886,1058,1243,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431,19691,20814,22194
switzerland,0,0,0,0,0,0,0,0,0,0,1,1,8,15,19,24,30,58,93,120,214,268,332,374,497,652,868,1139,1375,2217,2353,2742,3115,4222,5615,6863,7474,8795,9877,10897,11811,12928,14076,14829,15922,16605,17768,18827,19606,20505,21100,21657,22253
netherlands,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,10,18,23,38,82,128,188,265,321,382,503,614,804,959,1135,1413,1705,2051,2460,2994,3631,4204,4749,5560,6412,7431,8603,9762,10866,11750,12595,13614,14697,15723,16627,17851,18803,19580
canada,8,8,8,8,8,8,9,9,10,11,11,12,14,15,20,24,27,30,34,37,54,60,66,77,95,110,142,198,252,341,441,598,727,873,1087,1328,1470,2091,2792,3409,4043,4757,5655,6320,7448,8612,9731,11283,12375,13912,15512,16667,17897
brazil,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,8,13,19,25,25,34,52,77,151,151,200,234,346,529,640,970,1178,1546,1924,2247,2554,2985,3417,3904,4256,4630,5717,6880,8044,9194,10360,11254,12183,14034
portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,21,30,39,41,61,78,112,169,245,331,448,642,786,1020,1280,1600,2060,2362,2995,3544,4268,5170,5962,6408,7443,8251,9034,9886,10524,11278,11730,12442
austria,0,0,0,0,0,0,0,0,0,0,2,2,5,7,10,14,18,24,29,43,66,81,104,131,182,246,361,504,655,860,1018,1332,1646,2179,2649,2992,3582,4474,5283,5588,6909,7697,8271,8788,9618,10180,10711,11129,11524,11781,12051,12297,12639
south-korea,28,29,30,31,58,111,209,436,602,833,977,1261,1766,2337,3150,3736,4335,5186,5621,6284,6593,7041,7313,7478,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8897,8961,9037,9137,9241,9332,9478,9583,9661,9786,9887,9976,10062,10156,10237,10284,10331
israel,0,0,0,0,0,0,1,1,2,2,2,2,3,7,7,10,12,12,15,17,21,25,39,50,75,97,109,143,193,213,298,337,433,677,705,883,1071,1442,1930,2369,2693,3035,3619,4247,4695,5358,6092,6857,7428,7851,8430,8904,9248
russia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,7,13,14,17,20,20,28,34,45,59,63,93,114,147,199,253,306,367,438,495,658,840,1036,1264,1534,1836,2337,2777,3548,4149,4731,5389,6343,7497
sweden,1,1,1,1,1,1,1,1,1,1,1,2,7,11,13,14,15,30,52,94,137,161,203,260,355,500,687,814,961,1040,1121,1196,1301,1439,1639,1770,1934,2046,2299,2526,2840,3069,3447,3700,4028,4435,4947,5568,6131,6443,6830,7206,7693
norway,0,0,0,0,0,0,0,0,0,0,0,1,4,6,15,19,25,33,59,94,127,156,176,227,400,629,800,996,1109,1256,1348,1471,1591,1790,1959,2164,2385,2625,2866,3084,3372,3771,4015,4284,4445,4641,4877,5147,5370,5550,5687,5865,6086
ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,13,18,19,21,24,34,43,70,90,129,170,223,292,366,557,683,785,906,1125,1329,1564,1819,2121,2415,2615,2910,3235,3447,3849,4273,4604,4994,5364,5709
australia,15,15,15,15,15,17,19,21,22,22,22,23,23,25,25,29,33,39,53,60,63,74,83,93,116,128,156,199,248,300,401,455,596,756,928,1072,1609,1887,2317,2676,3050,3378,3635,4163,4460,4763,5048,5314,5454,5550,5750,5895,5988
india,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,7,29,30,31,34,40,47,62,62,74,82,100,114,129,143,169,194,249,332,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,3059,3588,4289,4778,5351
chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,7,10,13,17,23,33,43,61,75,156,201,238,342,434,537,632,746,922,1142,1306,1610,1909,2139,2449,2738,3031,3404,3737,4161,4471,4815,5116
denmark,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,10,14,19,21,27,35,90,262,514,674,804,836,864,914,977,1057,1151,1255,1326,1395,1460,1591,1724,1877,2046,2201,2395,2577,2860,3107,3386,3757,4077,4369,4681,5071
czech-republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,8,12,19,26,32,38,63,94,116,141,189,293,344,434,522,694,833,995,1120,1236,1394,1654,1925,2279,2631,2817,3001,3308,3589,3858,4190,4472,4587,4822,5017
poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,11,17,22,31,51,68,104,125,177,238,287,355,425,536,634,749,901,1051,1221,1389,1638,1862,2055,2311,2554,2946,3383,3627,4102,4413,4848
romania,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,4,6,6,9,13,15,17,29,47,59,95,123,139,168,217,260,277,308,367,433,576,794,906,1029,1292,1452,1815,2109,2245,2460,2738,3183,3613,3864,4057,4417
ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,10,13,13,14,14,15,17,17,17,23,28,37,58,111,168,260,426,532,789,981,1082,1211,1403,1627,1823,1924,1966,2302,2758,3163,3368,3465,3646,3747,3995
peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,9,11,17,22,38,43,71,86,117,145,234,263,318,363,395,416,480,580,635,671,852,950,1065,1323,1414,1595,1746,2281,2561,2954
pakistan,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,5,5,5,6,6,7,16,19,20,21,28,33,53,184,247,307,454,501,645,776,875,972,1063,1201,1373,1495,1597,1717,1938,2118,2421,2686,2818,3157,3766,4035
japan,53,59,66,74,84,94,109,134,146,159,161,172,214,233,241,256,274,293,331,364,420,461,502,530,587,639,691,734,804,833,850,878,914,943,1007,1054,1101,1128,1193,1307,1387,1499,1693,1866,1953,2178,2384,2617,2935,3139,3654,3906,4257
malaysia,22,22,22,22,22,22,22,22,22,22,22,22,22,25,25,29,29,36,50,55,83,93,99,117,129,149,158,197,238,428,566,673,790,900,1030,1183,1306,1518,1624,1796,2031,2161,2320,2470,2626,2766,2908,3116,3333,3483,3662,3793,3963
philippines,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,10,24,33,49,52,64,111,140,142,187,202,217,230,307,380,462,552,636,707,803,1075,1418,1546,2084,2311,2633,3018,3094,3246,3660,3764
luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,5,7,7,26,38,51,77,81,140,203,335,484,670,798,875,1099,1333,1453,1605,1831,1950,1988,2178,2319,2487,2612,2729,2804,2843,2970
indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,6,19,27,34,34,69,96,117,134,172,227,309,369,450,514,579,686,790,893,1046,1155,1285,1414,1528,1677,1790,1986,2092,2273,2491,2738
saudi-arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,7,11,20,20,45,45,86,103,118,133,171,238,274,344,392,511,562,767,900,1012,1104,1203,1299,1453,1563,1720,1885,2039,2179,2402,2605,2795
mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,6,6,6,6,6,7,7,7,11,12,15,26,43,53,82,93,118,164,203,251,316,367,405,475,585,717,848,993,1094,1215,1378,1510,1688,1890,2143,2439
serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,18,24,35,46,48,57,72,89,103,135,171,222,249,303,384,457,528,659,741,785,900,1060,1171,1476,1624,1908,2200,2447
united-arab-emirates,8,9,9,9,9,9,11,13,13,13,13,13,19,19,21,21,21,27,28,28,45,45,45,59,74,74,85,85,85,98,98,113,113,140,140,153,153,198,248,333,333,405,468,570,611,664,814,1024,1264,1505,1799,2076,2359
finland,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,7,7,7,12,15,19,25,33,40,65,109,155,225,244,278,322,359,400,450,523,626,700,792,880,958,1041,1167,1240,1352,1418,1446,1518,1615,1882,1927,2176,2308
thailand,34,34,35,35,35,35,35,35,35,35,37,40,40,41,42,42,43,43,43,47,48,50,50,50,53,59,70,75,82,114,147,177,212,272,322,411,599,721,827,934,1045,1136,1245,1388,1524,1651,1771,1875,1978,2067,2169,2220,2258
panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,14,27,43,55,69,69,109,137,200,245,313,345,443,558,674,786,901,989,1075,1181,1317,1475,1673,1801,1801,2100,2100
qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,8,8,8,11,12,15,18,24,262,262,320,337,401,439,442,452,460,470,481,494,501,526,537,549,562,590,634,693,781,835,949,1075,1325,1604,1832,2057
dominican-republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,5,5,5,5,5,11,11,21,21,34,34,72,112,202,245,312,392,488,581,719,859,901,1109,1284,1380,1488,1578,1745,1828,1956
colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,9,9,16,24,34,54,65,93,108,145,196,231,277,378,470,491,539,608,702,798,906,1065,1161,1267,1406,1485,1579,1780
greece,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,7,7,7,9,31,45,66,73,84,89,99,117,190,228,331,352,387,418,464,495,530,624,695,743,821,892,966,1061,1156,1212,1314,1415,1544,1613,1673,1735,1755,1832
south-africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,7,7,13,16,24,38,61,64,85,116,150,202,240,274,402,554,709,927,1170,1187,1280,1326,1353,1380,1462,1505,1585,1655,1686,1749
argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,9,12,17,19,21,31,34,45,56,65,79,97,128,158,158,266,301,387,502,589,589,745,820,820,1054,1133,1265,1353,1451,1554,1628,1715
ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,7,14,16,26,41,47,73,73,102,145,196,310,356,475,548,645,794,897,1072,1225,1308,1319,1462
singapore,72,75,77,81,84,85,86,89,89,90,91,93,96,98,102,106,108,110,112,117,130,138,150,160,166,178,187,200,212,226,243,266,313,345,385,432,455,509,558,631,683,732,802,844,879,926,1000,1049,1114,1189,1309,1375,1481
iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,14,26,37,45,50,58,65,81,85,117,134,161,180,199,247,250,330,409,473,568,588,648,737,802,890,963,1020,1086,1135,1220,1319,1364,1417,1486,1562,1586
algeria,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,5,8,17,17,17,19,20,20,20,20,26,26,39,54,60,61,75,90,94,139,201,230,264,302,367,409,454,511,584,716,847,986,1171,1251,1320,1423,1468
egypt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,15,48,55,59,59,67,80,93,110,126,166,196,210,256,285,294,327,366,402,456,495,536,576,609,656,710,779,865,985,1070,1173,1322,1450
croatia,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,7,8,9,10,10,11,12,12,13,15,19,27,32,39,49,57,69,89,110,130,206,254,315,382,442,495,586,657,713,790,867,963,1011,1079,1126,1182,1222,1282
morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,6,6,7,18,28,37,44,54,63,86,96,115,143,170,225,275,345,402,479,556,617,654,708,791,919,1021,1120,1184
new-zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,4,5,5,5,5,5,5,6,8,8,8,20,20,28,52,52,102,102,205,283,368,368,514,514,589,647,708,797,868,950,1039,1106,1160
iraq,0,0,0,0,0,0,0,1,1,1,5,5,7,8,13,19,27,32,37,40,46,54,65,71,71,71,83,101,110,124,133,154,164,192,208,214,233,266,316,346,382,458,506,547,630,694,728,772,820,878,961,1031,1122
estonia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,10,10,10,10,13,16,27,79,115,171,205,225,258,267,283,306,326,352,369,404,538,575,645,679,715,745,779,858,961,1039,1097,1108,1149
moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,6,6,12,23,29,30,36,49,66,80,94,109,125,149,177,199,231,263,298,353,423,505,591,752,864,965,1056
slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,12,16,25,34,57,96,141,181,219,253,275,286,319,341,383,414,442,480,528,562,632,684,730,756,802,841,897,934,977,997,1021,1059
belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,6,6,6,6,6,6,9,9,21,27,27,27,36,36,51,51,69,76,76,81,81,86,86,94,94,94,152,152,163,304,351,440,562,700,861
china-hong-kong-sar,56,57,60,62,65,69,69,70,74,81,85,89,92,93,95,100,100,101,103,105,108,108,115,116,121,130,131,132,142,149,155,168,193,208,256,274,318,357,387,411,454,519,560,642,683,715,766,802,845,862,891,915,936
lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,6,9,14,18,26,34,48,69,99,143,179,209,274,299,358,394,460,491,537,581,649,696,771,811,843,880
hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,7,9,12,13,16,19,30,32,39,50,58,73,85,103,131,167,187,226,261,300,343,408,447,492,525,585,623,678,733,744,817
armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,6,8,20,28,52,78,110,122,136,160,194,235,249,265,290,329,407,424,482,532,571,663,736,770,822,833,853
kuwait,0,0,0,0,0,0,0,0,0,5,11,26,43,45,45,46,56,56,56,58,58,61,64,65,69,72,80,100,104,112,123,130,142,148,159,176,188,189,191,195,208,225,235,255,266,289,317,342,417,479,556,665,743
bahrain,0,0,0,0,0,0,0,0,0,2,23,33,33,38,41,47,49,49,52,55,60,85,85,109,110,195,197,210,212,214,228,241,256,279,298,310,334,377,392,419,458,466,476,499,515,567,569,643,672,688,700,756,811
azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,6,9,9,9,9,11,11,15,15,19,23,25,34,34,44,44,53,65,72,87,93,122,165,182,209,273,298,359,400,443,521,584,641,717
bosnia-and-herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,5,7,7,11,18,21,24,25,34,39,64,89,93,126,136,168,176,191,237,278,323,368,420,459,533,579,624,654,674,764
cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,4,5,10,13,13,27,40,40,56,66,75,75,91,91,139,139,193,233,306,509,555,650,658,685
kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,10,33,36,44,52,54,60,62,72,81,113,150,228,284,302,343,380,435,464,531,584,662,697
slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,7,10,21,32,44,61,72,97,105,124,137,178,185,186,204,216,226,269,292,314,336,363,400,426,450,471,485,534,581
tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,5,6,7,13,16,18,20,24,27,29,39,54,60,75,89,114,173,197,227,278,312,362,394,423,455,495,553,574,596,623
macedonia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,5,7,9,9,14,19,19,24,31,43,50,76,85,115,136,148,177,201,219,241,259,285,329,354,384,430,483,555,570,599
bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,7,23,31,41,51,62,81,92,107,127,163,187,201,218,242,264,293,331,346,359,399,422,457,485,503,531,549,577
latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,8,10,16,17,26,30,34,60,71,86,111,124,139,180,197,221,244,280,305,347,376,398,446,458,493,509,533,542,548
lebanon,0,0,0,0,0,0,1,1,1,1,1,2,3,4,7,10,13,13,15,16,22,28,32,41,52,68,68,77,93,110,109,124,133,157,177,230,248,267,318,333,368,391,412,438,446,463,479,494,508,520,527,541,548
andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,14,39,53,74,75,88,113,133,164,188,224,267,308,334,370,376,390,428,439,466,501,525,545
uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,18,23,33,41,43,46,50,60,75,88,104,144,149,172,181,205,227,266,342,457,520
cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,10,14,26,33,46,49,58,67,75,84,95,116,124,132,146,162,179,214,230,262,320,356,396,426,446,465,494
costa-rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,9,13,22,23,23,27,35,41,50,69,87,113,117,134,158,177,201,231,263,295,314,330,347,375,396,416,435,454,467,483
cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,7,10,11,21,21,35,40,48,57,67,80,119,139,170,186,212,233,269,288,320,350,396
afghanistan,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,7,7,7,11,16,21,22,22,22,24,24,40,40,74,84,94,110,110,120,170,174,237,273,281,309,349,367,423
uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,29,50,79,79,110,110,158,162,189,217,238,238,304,304,320,338,350,350,386,400,406,415,424
oman,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6,6,6,12,15,16,16,16,16,18,18,18,18,19,20,22,24,33,39,48,48,52,55,66,84,99,109,131,152,167,179,192,210,231,252,277,298,331,371
burkina-faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,15,15,27,33,40,64,75,99,114,146,152,180,207,222,246,261,282,288,302,318,345,364,384
albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,15,23,33,38,42,51,55,59,64,70,76,89,104,123,146,174,186,197,212,223,243,259,277,304,333,361,377,383
cote-d-ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,9,9,9,14,14,25,73,80,96,101,101,165,168,179,190,194,218,245,261,323,349
taiwan,18,20,22,22,23,24,26,26,28,30,31,32,32,34,39,40,41,42,42,44,45,45,45,45,47,48,49,50,53,59,67,77,100,108,135,153,169,195,216,235,252,267,283,298,306,322,329,339,348,355,363,373,376
jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,12,29,48,56,69,84,100,112,127,154,172,212,235,246,259,268,274,278,299,310,323,345,349,353
réunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,9,9,14,28,38,47,64,71,94,111,135,145,183,183,224,247,281,308,321,334,344,349,358
channel-islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,6,6,7,11,12,32,32,36,36,46,66,88,97,108,141,141,172,193,232,262,309,323,335
niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,7,10,10,10,18,27,34,74,98,120,144,184,253,278
ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,7,7,11,16,21,23,27,53,68,132,137,141,152,152,161,195,204,205,205,214,214,287
honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,6,8,9,12,24,24,26,30,30,52,67,68,95,110,139,141,172,219,222,264,268,298,305
malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,7,9,12,18,21,30,38,48,53,64,73,90,107,110,129,134,139,149,151,156,169,188,196,202,213,227,241,293
san-marino,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,9,11,17,22,24,27,37,51,62,69,72,80,101,109,109,119,140,144,151,160,175,187,187,208,208,223,224,224,230,236,236,245,251,259,266,277,279
